# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.126           	4.26042021e+00	-6.90381021e-16	-1.25335879e-02	4.01074814e-04	4.51252272e-03	1.36333447e-01	2.13061118e+00	2.12980903e+00	1.36333447e-01	-1.36333447e-01	-1.75427125e-03	-1.07793167e-02
0.127           	4.26968090e+00	-6.94757933e-16	-1.28505436e-02	4.11217396e-04	4.64481071e-03	1.36629789e-01	2.13525167e+00	2.13442924e+00	1.36629789e-01	-1.36629789e-01	-1.78046111e-03	-1.10700825e-02
0.128           	4.27975671e+00	-6.99348699e-16	-1.21859015e-02	3.89948848e-04	4.28655937e-03	1.36952215e-01	2.14026831e+00	2.13948841e+00	1.36952215e-01	-1.36952215e-01	-1.80639138e-03	-1.03795101e-02
0.129           	4.29012027e+00	-7.04161407e-16	-1.27665186e-02	4.08528595e-04	4.54982046e-03	1.37283849e-01	2.14546866e+00	2.14465161e+00	1.37283849e-01	-1.37283849e-01	-1.83343884e-03	-1.09330798e-02
0.13            	4.29999073e+00	-7.08721419e-16	-1.34693538e-02	4.31019321e-04	4.87419808e-03	1.37599703e-01	2.15042638e+00	2.14956435e+00	1.37599703e-01	-1.37599703e-01	-1.86047881e-03	-1.16088750e-02
0.131           	4.31016549e+00	-7.13152163e-16	-1.36546085e-02	4.36947473e-04	4.93996058e-03	1.37925296e-01	2.15551969e+00	2.15464580e+00	1.37925296e-01	-1.37925296e-01	-1.88734369e-03	-1.17672648e-02
0.132           	4.32026795e+00	-7.17489552e-16	-1.41883466e-02	4.54027091e-04	5.18001404e-03	1.38248575e-01	2.16058800e+00	2.15967995e+00	1.38248575e-01	-1.38248575e-01	-1.91415925e-03	-1.22741873e-02
0.133           	4.33077018e+00	-7.22014051e-16	-1.39246062e-02	4.45587399e-04	5.02148465e-03	1.38584646e-01	2.16583068e+00	2.16493950e+00	1.38584646e-01	-1.38584646e-01	-1.94081846e-03	-1.19837878e-02
0.134           	4.34041767e+00	-7.26300905e-16	-1.39165851e-02	4.45330724e-04	4.99103155e-03	1.38893365e-01	2.17065417e+00	2.16976350e+00	1.38893365e-01	-1.38893365e-01	-1.96726101e-03	-1.19493241e-02
0.135           	4.35098490e+00	-7.30651859e-16	-1.40655041e-02	4.50096132e-04	5.03925923e-03	1.39231517e-01	2.17594255e+00	2.17504235e+00	1.39231517e-01	-1.39231517e-01	-1.99349283e-03	-1.20720113e-02
0.136           	4.35973392e+00	-7.34653134e-16	-1.45027156e-02	4.64086899e-04	5.23191733e-03	1.39511485e-01	2.18033105e+00	2.17940287e+00	1.39511485e-01	-1.39511485e-01	-2.01944048e-03	-1.24832751e-02
0.137           	4.36970820e+00	-7.38854751e-16	-1.48990822e-02	4.76770630e-04	5.40425329e-03	1.39830662e-01	2.18533087e+00	2.18437733e+00	1.39830662e-01	-1.39830662e-01	-2.04528780e-03	-1.28537944e-02
0.138           	4.37964862e+00	-7.43002061e-16	-1.51015691e-02	4.83250211e-04	5.47978871e-03	1.40148756e-01	2.19030756e+00	2.18934106e+00	1.40148756e-01	-1.40148756e-01	-2.07099584e-03	-1.30305733e-02
0.139           	4.38953476e+00	-7.47112101e-16	-1.51274328e-02	4.84077851e-04	5.46725614e-03	1.40465112e-01	2.19525146e+00	2.19428330e+00	1.40465112e-01	-1.40465112e-01	-2.09646027e-03	-1.30309726e-02
0.14            	4.39940287e+00	-7.51162861e-16	-1.52222314e-02	4.87111403e-04	5.48934637e-03	1.40780892e-01	2.20018855e+00	2.19921433e+00	1.40780892e-01	-1.40780892e-01	-2.12176931e-03	-1.31004620e-02
0.141           	4.40897087e+00	-7.55094229e-16	-1.54907409e-02	4.95703708e-04	5.59857296e-03	1.41087068e-01	2.20498114e+00	2.20398973e+00	1.41087068e-01	-1.41087068e-01	-2.14679748e-03	-1.33439434e-02
0.142           	4.41888701e+00	-7.59019579e-16	-1.57048963e-02	5.02556682e-04	5.68089025e-03	1.41404384e-01	2.20994606e+00	2.20894095e+00	1.41404384e-01	-1.41404384e-01	-2.17155792e-03	-1.35333384e-02
0.143           	4.42909428e+00	-7.62914837e-16	-1.58118734e-02	5.05979950e-04	5.71002058e-03	1.41731017e-01	2.21505312e+00	2.21404116e+00	1.41731017e-01	-1.41731017e-01	-2.19591614e-03	-1.36159573e-02
0.144           	4.43792829e+00	-7.66627572e-16	-1.56545987e-02	5.00947160e-04	5.60706496e-03	1.42013705e-01	2.21946509e+00	2.21846320e+00	1.42013705e-01	-1.42013705e-01	-2.22023441e-03	-1.34343643e-02
0.145           	4.44773996e+00	-7.70351561e-16	-1.66007254e-02	5.31223211e-04	6.05601865e-03	1.42327679e-01	2.22440121e+00	2.22333876e+00	1.42327679e-01	-1.42327679e-01	-2.24434402e-03	-1.43563813e-02
0.146           	4.45735798e+00	-7.74038099e-16	-1.67706235e-02	5.36659952e-04	6.11708110e-03	1.42635455e-01	2.22921565e+00	2.22814233e+00	1.42635455e-01	-1.42635455e-01	-2.26823065e-03	-1.45023929e-02
0.147           	4.46652523e+00	-7.77594541e-16	-1.72783761e-02	5.52908037e-04	6.34722961e-03	1.42928807e-01	2.23381552e+00	2.23270971e+00	1.42928807e-01	-1.42928807e-01	-2.29195847e-03	-1.49864177e-02
0.148           	4.47633840e+00	-7.81186695e-16	-1.61122298e-02	5.15591354e-04	5.74139498e-03	1.43242829e-01	2.23868479e+00	2.23765361e+00	1.43242829e-01	-1.43242829e-01	-2.31471992e-03	-1.37975099e-02
0.149           	4.48588487e+00	-7.84685029e-16	-1.60871666e-02	5.14789332e-04	5.70639361e-03	1.43548316e-01	2.24345722e+00	2.24242765e+00	1.43548316e-01	-1.43548316e-01	-2.33718970e-03	-1.37499769e-02
0.15            	4.49545339e+00	-7.88028671e-16	-1.65033932e-02	5.28108581e-04	5.89254708e-03	1.43854508e-01	2.24825480e+00	2.24719859e+00	1.43854508e-01	-1.43854508e-01	-2.35914950e-03	-1.41442437e-02
