# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e-01
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0405          	3.67410525e+00	3.43686012e-16	-2.11564668e-03	-1.43051447e-16	-2.02094432e-05	7.51094848e-17	1.83705262e+00	1.83705262e+00	2.46952491e-16	9.67335211e-17	-1.07803278e-03	-1.03761390e-03
0.041           	3.66009993e+00	3.39653108e-16	-2.10915469e-03	-1.41051216e-16	-2.24228152e-05	7.48463195e-17	1.83004997e+00	1.83004997e+00	2.44672873e-16	9.49802343e-17	-1.07700016e-03	-1.03215453e-03
0.0415          	3.64643449e+00	3.35700374e-16	-2.10640666e-03	-1.39092583e-16	-2.45886523e-05	7.45866674e-17	1.82321724e+00	1.82321724e+00	2.42436854e-16	9.32635194e-17	-1.07779198e-03	-1.02861468e-03
0.042           	3.63309644e+00	3.31822203e-16	-2.10345672e-03	-1.37173241e-16	-2.67104556e-05	7.43298100e-17	1.81654822e+00	1.81654822e+00	2.40240912e-16	9.15812917e-17	-1.07843882e-03	-1.02501791e-03
0.0425          	3.62008075e+00	3.28018540e-16	-2.10268956e-03	-1.35292187e-16	-2.87863151e-05	7.40763206e-17	1.81004037e+00	1.81004037e+00	2.38085591e-16	8.99329493e-17	-1.08013110e-03	-1.02255847e-03
0.043           	3.60737525e+00	3.24285940e-16	-2.09883213e-03	-1.33448230e-16	-3.08198973e-05	7.38257216e-17	1.80368763e+00	1.80368763e+00	2.35968692e-16	8.83172484e-17	-1.08023596e-03	-1.01859617e-03
0.0435          	3.59497271e+00	3.20622412e-16	-2.09896285e-03	-1.31639888e-16	-3.28184750e-05	7.35780863e-17	1.79748636e+00	1.79748636e+00	2.33889292e-16	8.67331196e-17	-1.08229990e-03	-1.01666295e-03
0.044           	3.58286206e+00	3.17025910e-16	-2.09820504e-03	-1.29866332e-16	-3.47780738e-05	7.33332959e-17	1.79143103e+00	1.79143103e+00	2.31846251e-16	8.51796593e-17	-1.08388060e-03	-1.01432445e-03
0.0445          	3.57103564e+00	3.13493861e-16	-2.09749969e-03	-1.28126603e-16	-3.67008874e-05	7.30911063e-17	1.78551782e+00	1.78551782e+00	2.29838037e-16	8.36558240e-17	-1.08545073e-03	-1.01204896e-03
0.045           	3.55948738e+00	3.10024163e-16	-2.10112642e-03	-1.26419263e-16	-3.85961628e-05	7.28515279e-17	1.77974369e+00	1.77974369e+00	2.27863609e-16	8.21605535e-17	-1.08915937e-03	-1.01196704e-03
0.0455          	3.54820873e+00	3.06615649e-16	-2.09712908e-03	-1.24743337e-16	-4.04479951e-05	7.26146747e-17	1.77410436e+00	1.77410436e+00	2.25922499e-16	8.06931500e-17	-1.08901254e-03	-1.00811655e-03
0.046           	3.53718786e+00	3.03266454e-16	-2.09585020e-03	-1.23098147e-16	-4.22671291e-05	7.23802711e-17	1.76859393e+00	1.76859393e+00	2.24013498e-16	7.92529558e-17	-1.09019223e-03	-1.00565797e-03
0.0465          	3.52642100e+00	2.99974082e-16	-2.09704659e-03	-1.21482474e-16	-4.40595759e-05	7.21482326e-17	1.76321050e+00	1.76321050e+00	2.22135274e-16	7.78388083e-17	-1.09258287e-03	-1.00446372e-03
